INFO:all_classes:Камера 0 настроена на (640, 480)
INFO:__main__:Камера 0 инициализирована
INFO:__main__:Сенсор SensorX0.01 запущен
INFO:__main__:Сенсор SensorX0.1 запущен
INFO:__main__:Сенсор SensorX1.0 запущен
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
WARNING:__main__:Нет кадров для отображения
INFO:__main__:Программа завершена
